osm_type,osm_id,name,amenity,healthcare,facility_role,latitude,longitude
way,860329423,SC Chempakapetta,hospital,hospital,hospital,,
way,860331857,,hospital,hospital,hospital,,
way,860934054,SC Kaloorkunnu,hospital,hospital,hospital,,
way,860993726,SC Vakery,hospital,hospital,hospital,,
way,860996205,SC  Valanchery,hospital,hospital,hospital,,
way,861293104,,hospital,hospital,hospital,,
way,861294471,,hospital,hospital,hospital,,
way,868236317,Primary Helth Center,,clinic,clinic,,
way,890156940,Varadoor Aided UP School,school,,school,,
way,890156945,Ananthanatha Swami Jain Temple,place_of_worship,,place_of_worship,,
way,891015971,Kaniyambetta Temple,place_of_worship,,place_of_worship,,
way,891019047,Millumukku Hayathul Islam Secondary Madrassa and ALBiRR Islamic Pre School,school,,school,,
way,891020661,Shree Lakshmi Narasimha Swamy Temple,place_of_worship,,place_of_worship,,
way,892183846,Dharshana Library,library,,library,,
way,895450775,"Government Vetenary Hospital, Varadoor",veterinary,,veterinary,,
way,905019578,Arrapetta juma masjid,place_of_worship,,place_of_worship,,
way,905133115,Meppadi Convention center,conference_centre,,conference_centre,,
way,905451349,Meppadi mosque,place_of_worship,,place_of_worship,,
way,905452585,Malabar Hotel and tourist home,restaurant,,restaurant,,
way,921778764,Malakkad Sree Mahadeva Temple,place_of_worship,,place_of_worship,,
way,933786989,Community Health Center,hospital,hospital,hospital,,
way,933790893,Police Station,police,,police,,
way,934288509,"Anganavadi, Srambippadi",childcare,,childcare,,
way,934312333,"St Thomas Church, Olivumala",place_of_worship,,place_of_worship,,
way,934315029,"St. Thomas Church Parish Hall, Olivumala",events_venue,,events_venue,,
way,934316104,"Swami Vivekananda Medical Mission Hospital, Ambukuthi",hospital,hospital,hospital,,
way,934369188,"Jeevan Jyothi Care Home, Edapetty",social_facility,,social_facility,,
way,934389240,"Government Ayurvedic Hospital, Kumbalad",hospital,hospital,hospital,,
way,934407017,"Sub Centre, kumbalad",hospital,hospital,hospital,,
way,934412068,"Anganavadi, Kariyambadi",childcare,,childcare,,
way,934414248,"Sub Centre, Panangandi",hospital,hospital,hospital,,
way,934416972,"Anganavadi, Chelanjichal",childcare,,childcare,,
way,934419495,"Sub Centre, Pariyaram",hospital,hospital,hospital,,
way,934531804,"Kristu Raja School Ground, Vellarmkunnu",school,,school,,
way,934951506,Kumbalad Anganavadi,childcare,,childcare,,
way,934960782,"Navodaya Library And Arts And Sports Club, Malakkad",library,,library,,
way,934962715,"Anganavadi, Mandad",childcare,,childcare,,
way,934976010,"ICDP Sub Centre, Mandad",veterinary,,veterinary,,
way,934977425,"Anganavadi, Mandad",childcare,,childcare,,
way,934979299,"Anganavadi, Kallupadi",childcare,,childcare,,
way,934994070,"ICDP Sub Centre, Kolavayal",veterinary,,veterinary,,
way,935008195,"Anganavady, Thondupali",childcare,,childcare,,
way,935012672,"St George Lower Primary School, Kolavayal",school,,school,,
way,935066725,"Grace Library, Vazhavatta",library,,library,,
way,935069623,"Anganavadi, Aduvadi",childcare,,childcare,,
way,935084671,"Citizens Library, Theneri",library,,library,,
way,935094724,"Anganavadi, Thottamkolli",childcare,,childcare,,
way,935102279,"Youngmens Club And Library, Kolavayal",library,,library,,
way,935103537,"Anganavadi, Manikkuni",childcare,,childcare,,
way,935104706,"Anganavadi, Aalamdhatta",childcare,,childcare,,
way,935105561,"Anganavadi, Muranikkara",childcare,,childcare,,
way,935110231,"Pre-Primary School, Kallupadi",school,,school,,
way,935112106,"Mahatma Library And Arts And Sports Club, Kallupadi",library,,library,,
way,935273365,"Sadhbhavana Library, Panangandi",library,,library,,
way,935448555,Bistro Resaturant,restaurant,,restaurant,,
way,935448673,"W.O High School, Muttil",school,,school,,
way,935505606,"Anganavadi, Pakkam",childcare,,childcare,,
way,935507107,"Venus Library, Pakkam",library,,library,,
way,935520887,"Sub Centre, Pakkam",,yes,yes,,
